state,occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate
NJ,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,36080.0,42000.0,52440.0,64330.0,73720.0,0.02244825782595128
NJ,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,35740.0,39440.0,49140.0,61720.0,77330.0,0.022232829894724304
NJ,51-9071,Jewelers and Precious Stone and Metal Workers,detailed,34790.0,47520.0,59480.0,72870.0,93350.0,0.02270281838501309
NJ,51-9081,Dental Laboratory Technicians,detailed,37340.0,37340.0,47270.0,69770.0,99240.0,0.02386130250299745
NJ,51-9082,Medical Appliance Technicians,detailed,41880.0,44380.0,52400.0,58580.0,63470.0,0.016750509978601613
NJ,51-9083,Ophthalmic Laboratory Technicians,detailed,35800.0,37380.0,47420.0,47640.0,48400.0,0.024076087300171745
NJ,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,32230.0,35350.0,40280.0,48640.0,59800.0,0.013141264882846837
NJ,51-9123,"Painting, Coating, and Decorating Workers",detailed,42270.0,48390.0,52160.0,63050.0,71880.0,0.007530486245172607
NJ,51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,37780.0,47320.0,58240.0,76530.0,82850.0,0.02098100681516013
NJ,51-9151,Photographic Process Workers and Processing Machine Operators,detailed,35390.0,36430.0,43300.0,45240.0,51020.0,0.017426095619396786
NJ,51-9161,Computer Numerically Controlled Tool Operators,detailed,35430.0,41970.0,54100.0,63400.0,75230.0,0.025712928537094504
NJ,51-9162,Computer Numerically Controlled Tool Programmers,detailed,48920.0,60660.0,70460.0,79680.0,96800.0,0.01508877027171418
NJ,51-9191,Adhesive Bonding Machine Operators and Tenders,detailed,49160.0,51380.0,59170.0,59180.0,76030.0,0.014216675737127815
NJ,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,36860.0,38030.0,43600.0,50850.0,61800.0,0.013762019490667576
NJ,51-9193,Cooling and Freezing Equipment Operators and Tenders,detailed,38170.0,46300.0,51460.0,59580.0,75610.0,0.010622304896036328
NJ,51-9194,Etchers and Engravers,detailed,49080.0,53330.0,58000.0,69220.0,120690.0,0.008429730351018794
NJ,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,38160.0,39640.0,47360.0,60510.0,71780.0,0.01795318323932049
NJ,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed,35330.0,37450.0,45950.0,59110.0,62920.0,0.020665345227193432
NJ,51-9198,Helpers--Production Workers,detailed,32440.0,34930.0,39290.0,47370.0,58520.0,0.011831846500913068
NJ,51-9199,"Production Workers, All Other",detailed,34440.0,36560.0,40000.0,46000.0,58770.0,0.009033024486191366
NJ,53-1041,Aircraft Cargo Handling Supervisors,detailed,52920.0,52920.0,65590.0,78950.0,92380.0,0.021696203360299204
NJ,53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",detailed,46230.0,55960.0,67980.0,81200.0,98510.0,0.019648173085401677
NJ,53-2012,Commercial Pilots,detailed,52560.0,121730.0,226710.0,321550.0,326930.0,0.06416091887483466
NJ,53-2021,Air Traffic Controllers,detailed,88460.0,102730.0,132230.0,179400.0,209730.0,0.025565188803620797
NJ,53-2022,Airfield Operations Specialists,detailed,42480.0,42480.0,42480.0,62340.0,94040.0,0.0
NJ,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,32240.0,36170.0,36170.0,40420.0,41080.0,0.0
NJ,53-3031,Driver/Sales Workers,detailed,32220.0,35630.0,44720.0,54870.0,60360.0,0.022983425440620486
NJ,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,47950.0,57400.0,63570.0,76450.0,90310.0,0.01026203294304917
NJ,53-3033,Light Truck Drivers,detailed,34750.0,41000.0,46820.0,53250.0,71070.0,0.013362328037777038
NJ,53-3051,"Bus Drivers, School",detailed,46640.0,51160.0,59430.0,65240.0,71520.0,0.015096941973774536
NJ,53-3052,"Bus Drivers, Transit and Intercity",detailed,48340.0,53020.0,61140.0,70700.0,70700.0,0.014351722666975153
NJ,53-3053,Shuttle Drivers and Chauffeurs,detailed,32750.0,35900.0,39470.0,47610.0,60100.0,0.009525440374001937
NJ,53-3099,"Motor Vehicle Operators, All Other",detailed,34590.0,37810.0,50680.0,81930.0,132670.0,0.029729116285497792
NJ,53-4011,Locomotive Engineers,detailed,85930.0,86550.0,86550.0,86680.0,107060.0,0.0
NJ,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,51350.0,53890.0,71030.0,102220.0,102220.0,0.028000588091682932
NJ,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",detailed,52850.0,63710.0,74160.0,78500.0,81440.0,0.015304267505623415
NJ,53-4041,Subway and Streetcar Operators,detailed,65600.0,65630.0,68970.0,73550.0,74640.0,0.004976212318165141
NJ,53-5011,Sailors and Marine Oilers,detailed,38480.0,49400.0,71880.0,75070.0,94470.0,0.038216942899000905
NJ,53-5021,"Captains, Mates, and Pilots of Water Vessels",detailed,50420.0,59860.0,90310.0,130130.0,156790.0,0.041981271315165936
NJ,53-5022,Motorboat Operators,detailed,37130.0,37140.0,44150.0,77360.0,104110.0,0.017440171515552993
NJ,53-5031,Ship Engineers,detailed,87310.0,90920.0,118310.0,119540.0,150600.0,0.02668260231070918
NJ,53-6021,Parking Attendants,detailed,32220.0,32740.0,35100.0,37150.0,42290.0,0.006984635428488817
NJ,53-6031,Automotive and Watercraft Service Attendants,detailed,32220.0,32220.0,35350.0,37530.0,44840.0,0.009314211242576143
NJ,53-6032,Aircraft Service Attendants,detailed,36550.0,40570.0,46210.0,54850.0,54860.0,0.013101821240248723
NJ,53-6041,Traffic Technicians,detailed,48020.0,54720.0,64240.0,78000.0,87660.0,0.016169005818768678
NJ,53-6051,Transportation Inspectors,detailed,37010.0,45010.0,49250.0,80190.0,105680.0,0.00904311212080433
NJ,53-6061,Passenger Attendants,detailed,39610.0,39710.0,39760.0,41320.0,43570.0,0.00012584158190898087
NJ,53-6099,"Transportation Workers, All Other",detailed,35360.0,39200.0,69220.0,82850.0,85140.0,0.05850899469308701
NJ,53-7011,Conveyor Operators and Tenders,detailed,36540.0,37720.0,50750.0,56780.0,56790.0,0.03011671980019881
NJ,53-7021,Crane and Tower Operators,detailed,65510.0,90020.0,100640.0,124700.0,129570.0,0.011214205536759225
NJ,53-7031,Dredge Operators,detailed,56180.0,58700.0,63810.0,73010.0,74390.0,0.008381952597785514
NJ,53-7051,Industrial Truck and Tractor Operators,detailed,36680.0,39600.0,46100.0,56480.0,65820.0,0.015314465944323397
NJ,53-7061,Cleaners of Vehicles and Equipment,detailed,32220.0,35380.0,37090.0,41590.0,46440.0,0.004731227355854406
NJ,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,33350.0,35910.0,39540.0,46770.0,55940.0,0.009676215708489533
NJ,53-7063,Machine Feeders and Offbearers,detailed,34630.0,37480.0,44890.0,48350.0,56580.0,0.018204477092530258
NJ,53-7064,"Packers and Packagers, Hand",detailed,32220.0,36030.0,43840.0,44930.0,47310.0,0.01981319848901708
NJ,53-7065,Stockers and Order Fillers,detailed,32220.0,34880.0,37250.0,44720.0,53880.0,0.006595489655302433
NJ,53-7072,"Pump Operators, Except Wellhead Pumpers",detailed,61030.0,63540.0,64990.0,83390.0,95450.0,0.0022589258437286652
NJ,53-7081,Refuse and Recyclable Material Collectors,detailed,37590.0,41920.0,54630.0,65370.0,71230.0,0.026835778673192312
NJ,53-7121,"Tank Car, Truck, and Ship Loaders",detailed,50980.0,58370.0,64890.0,67370.0,77790.0,0.010645410376773023
NJ,53-7199,"Material Moving Workers, All Other",detailed,39070.0,51670.0,64870.0,83420.0,83520.0,0.023011565615506546
NM,11-1011,Chief Executives,detailed,43710.0,43710.0,123500.0,195970.0,302440.0,0.10945224962183331
NM,11-1021,General and Operations Managers,detailed,47710.0,64090.0,98630.0,142650.0,214590.0,0.044051390582650285
NM,11-2021,Marketing Managers,detailed,77540.0,85770.0,122980.0,161550.0,204770.0,0.036692383605985146
NM,11-2022,Sales Managers,detailed,65190.0,91990.0,114080.0,153880.0,204790.0,0.02175527700032509
NM,11-2032,Public Relations Managers,detailed,77160.0,86180.0,115260.0,150810.0,200860.0,0.029502042423344754
NM,11-2033,Fundraising Managers,detailed,48280.0,101680.0,101680.0,153850.0,171900.0,0.0
NM,11-3012,Administrative Services Managers,detailed,66120.0,78580.0,104790.0,132640.0,173870.0,0.029202379420729896
NM,11-3013,Facilities Managers,detailed,67330.0,89070.0,108110.0,137310.0,187750.0,0.019561532712667473
NM,11-3021,Computer and Information Systems Managers,detailed,89870.0,116810.0,137730.0,183000.0,234780.0,0.01661111184996189
NM,11-3031,Financial Managers,detailed,90750.0,107920.0,133700.0,176620.0,216360.0,0.02165190011500595
NM,11-3051,Industrial Production Managers,detailed,74910.0,99170.0,124670.0,173540.0,216390.0,0.023147304953994086
NM,11-3061,Purchasing Managers,detailed,94710.0,108280.0,134790.0,160680.0,192480.0,0.02214131447216139
