occ_code,occ_title,o_group,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual_growth_rate,typical_education
19-2041,"Environmental Scientists and Specialists, Including Health",detailed,65350.0,81480.0,106510.0,132770.0,161910.0,0.0271501559760918,Bachelor's degree
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,45540.0,73850.0,106500.0,138120.0,171270.0,0.0372893305546622,Bachelor's degree
19-2043,Hydrologists,detailed,76110.0,93640.0,122110.0,142500.0,181360.0,0.0269019596352524,Bachelor's degree
19-2099,"Physical Scientists, All Other",detailed,81360.0,106480.0,130610.0,171270.0,211150.0,0.0206358964626143,Bachelor's degree
19-3011,Economists,detailed,74030.0,91320.0,119410.0,164770.0,207380.0,0.0271821873095639,Master's degree
19-3022,Survey Researchers,detailed,52110.0,68840.0,83520.0,119090.0,171640.0,0.0195181515911244,Master's degree
19-3033,Clinical and Counseling Psychologists,detailed,62900.0,77050.0,116000.0,162360.0,188050.0,0.0417620547982124,Doctoral or professional degree
19-3034,School Psychologists,detailed,97200.0,109940.0,127780.0,140980.0,160170.0,0.0151511597568054,Master's degree
19-3039,"Psychologists, All Other",detailed,45150.0,95160.0,157540.0,177260.0,198950.0,0.0517042786820882,Master's degree
19-3041,Sociologists,detailed,85030.0,98770.0,125770.0,138710.0,161710.0,0.0244604591785673,Master's degree
19-3051,Urban and Regional Planners,detailed,77430.0,90330.0,109610.0,136070.0,166950.0,0.01953424249526,Master's degree
19-3091,Anthropologists and Archeologists,detailed,55140.0,62620.0,72240.0,87940.0,104770.0,0.0143935226914337,Master's degree
19-3092,Geographers,detailed,85800.0,97680.0,114460.0,130850.0,144910.0,0.0159791819278318,Bachelor's degree
19-3093,Historians,detailed,60620.0,73460.0,97420.0,129250.0,146220.0,0.0286312641961195,Master's degree
19-3099,"Social Scientists and Related Workers, All Other",detailed,66370.0,79410.0,97900.0,120840.0,147410.0,0.0211528401099665,Bachelor's degree
